ts,block,addy,notional,collateral,start_ts,reval_ts,end_ts,rate,hist_accrual,hist_repay,liquidate_me
1658927507,279103,0x31d643a0fab51c0501c6102650bd48babc27ea8f91e34bd3407e7a75f2e8e22,10020000000000,30000000000,165892750700000000,165892750700000000,166627138561600000,2718035,0,0,0
1658928379,279112,0x31d643a0fab51c0501c6102650bd48babc27ea8f91e34bd3407e7a75f2e8e22,10020000000000,30000000000,165892750700000000,165892837900000000,166627138561600000,2718035,7515000,520004000000,0
1658930350,279138,0x31d643a0fab51c0501c6102650bd48babc27ea8f91e34bd3407e7a75f2e8e22,10015009609132,30000000000,165893035000000000,165893035000000000,166636067883700000,2931107,0,0,0
1658930872,279143,0x6edac2fe7b84fd02510d1ee45065f5ee365a540b75d041f4f26b3f8dd956a02,200400000000,500000000,165893087200000000,165893087200000000,166463318410000000,2884164,0,0,0
1658937571,279218,0x20d26a2c6e770434b49ce1b39e010d9f96ab8870cb76c9579c044afaecead1a,100200000000,300000000,165893757100000000,165893757100000000,166463989252900000,2765868,0,0,0
1658949048,279354,0x20d26a2c6e770434b49ce1b39e010d9f96ab8870cb76c9579c044afaecead1a,100200000000,350000000,165893757100000000,165893757100000000,166463989252900000,2765868,0,0,0
1659177801,281888,0x20d26a2c6e770434b49ce1b39e010d9f96ab8870cb76c9579c044afaecead1a,0,0,0,0,0,0,0,0,0
1659178273,281893,0x20d26a2c6e770434b49ce1b39e010d9f96ab8870cb76c9579c044afaecead1a,0,500000000,0,0,0,0,0,0,0
1659178829,281900,0x20d26a2c6e770434b49ce1b39e010d9f96ab8870cb76c9579c044afaecead1a,0,0,0,0,0,0,0,0,0
1659179638,281908,0x40e02a85fccdb279f4f95860fa0af1919c262d9096e7a080e8ddd89aef42887,100200000000,100000000,165917963800000000,165917963800000000,165926597591800000,1786887,0,0,0
1659182398,281934,0x20d26a2c6e770434b49ce1b39e010d9f96ab8870cb76c9579c044afaecead1a,100200000000,300000000,165918239800000000,165918239800000000,166453911222000000,4754201,0,0,0
1659182631,281936,0x20d26a2c6e770434b49ce1b39e010d9f96ab8870cb76c9579c044afaecead1a,501278591140,500000000,165918263100000000,165918263100000000,166548972031600000,4830565,0,0,0
1659190253,282018,0x20d26a2c6e770434b49ce1b39e010d9f96ab8870cb76c9579c044afaecead1a,0,0,0,0,0,0,0,0,0
1659190563,282021,0x20d26a2c6e770434b49ce1b39e010d9f96ab8870cb76c9579c044afaecead1a,100200000000,200000000,165919056300000000,165919056300000000,166463369568300000,4761799,0,0,0
1659190850,282024,0x20d26a2c6e770434b49ce1b39e010d9f96ab8870cb76c9579c044afaecead1a,100200000000,250000000,165919056300000000,165919056300000000,166463369568300000,4761799,0,0,0
1659191131,282027,0x20d26a2c6e770434b49ce1b39e010d9f96ab8870cb76c9579c044afaecead1a,150500485340,250000000,165919113100000000,165919113100000000,166463424143100000,4761843,0,0,0
1659191398,282030,0x20d26a2c6e770434b49ce1b39e010d9f96ab8870cb76c9579c044afaecead1a,150500485340,250000000,165919113100000000,165919139800000000,166463424143100000,4761843,60200,130550000000,0
1659191493,282031,0x20d26a2c6e770434b49ce1b39e010d9f96ab8870cb76c9579c044afaecead1a,150500485340,250000000,165919113100000000,165919139800000000,166463424143100000,4761843,60200,130550000000,1
1659197368,282096,0x20d26a2c6e770434b49ce1b39e010d9f96ab8870cb76c9579c044afaecead1a,250500000000,400000000,165919736800000000,165919736800000000,166697320592300000,4949735,0,0,0
1659197851,282101,0x20d26a2c6e770434b49ce1b39e010d9f96ab8870cb76c9579c044afaecead1a,250500000000,475000000,165919736800000000,165919736800000000,166697320592300000,4949735,0,0,0
1659197998,282102,0x20d26a2c6e770434b49ce1b39e010d9f96ab8870cb76c9579c044afaecead1a,250500000000,475000000,165919736800000000,165919799800000000,166697320592300000,4949735,245490,500000000,0
1659198332,282106,0x27accda15b0a13c626081c6f001b1ef94482ac7f6e4c5d78c6306fef30fcee6,100200000000,200000000,165919833200000000,165919833200000000,166671510414100000,4929001,0,0,0
1659202551,282152,0x3fc37be402d68adc86a288c7733d4f8903fdc51b1c8509e8a6ed8b9a0015a2c,100200000000,300000000,165920255100000000,165920255100000000,165928885357500000,1799828,0,0,0
1659217510,282312,0x31d643a0fab51c0501c6102650bd48babc27ea8f91e34bd3407e7a75f2e8e22,10015009609132,30000000000,165893035000000000,165921751000000000,166636067883700000,2931107,2671103212,50000000000,0
1659217644,282314,0x31d643a0fab51c0501c6102650bd48babc27ea8f91e34bd3407e7a75f2e8e22,9987617271961,30000000000,165921764400000000,165921764400000000,166690718692000000,4944431,0,0,0
1659227617,282423,0x71f5c1a69065b12952f96d1a73872bf0b0c5806cc5b8295480fbc9533a6386d,42084000000,500000000,165922761700000000,165922761700000000,166035067729700000,2400499,0,0,0
1659259547,282765,0x17193529143cbff0aa73672ec5bbc07bdfca5af6ea1c6e176420ca679ee7efd,100200000000,300000000,165925954700000000,165925954700000000,165934590219800000,1796450,0,0,0
1659289000,283079,0x3b9109a42d86982aed2a2740f1525a8988ecb5cdef1e2310fcaf530bf2298da,100200000000,200000000,165928900000000000,165928900000000000,165937535585700000,1811464,0,0,0
1659356908,283851,0x46c144ab6e6bf0cd7d5da7d0cd94bb2634da0c3d3f25ccfe5a81efd803beb4e,10020000000,200000000,165935690800000000,165935690800000000,166013439183900000,2059660,0,0,0
1659357314,283856,0x46c144ab6e6bf0cd7d5da7d0cd94bb2634da0c3d3f25ccfe5a81efd803beb4e,10020000000,200000000,165935690800000000,165935690800000000,166013439183900000,2059660,0,0,1
1659357474,283858,0x46c144ab6e6bf0cd7d5da7d0cd94bb2634da0c3d3f25ccfe5a81efd803beb4e,0,0,0,0,0,0,0,0,0
1659361478,283905,0x21f827b3ad8d4e81cefa5d899fefd0d3a3041617b530c0e41ed7a4802f38542,10020000000,20000000,165936147800000000,165936147800000000,165996618441600000,1990907,0,0,0
1659362010,283911,0x50321ded0ca5338b5cedd3de5d7686810f46555a5040c83fa490e7ee9533681,13326600000,23000000,165936201000000000,165936201000000000,166143544714800000,2591454,0,0,0
